FlagshipSocialNetwork;IN_NumOfAccounts;Instagram.URL;Instagram.Followers;yes_no;IG_Total_Posts
;;http://www.instagram.com/dorethiakelly;5000;n;
;;http://www.instagram.com/gwennettawright;7500;y;
;;http://www.instagram.com/joshua.aaron369719;8400;y;
;;http://www.instagram.com/vickitheinvestor;5000;n;
;;http://www.instagram.com/debtgo_app;5300;n;
;;http://www.instagram.com/austinljohnson_;5300;n;
;;http://www.instagram.com/the_lovelylender_;8900;n;
;;http://www.instagram.com/cashgold24k;7200;y;
;;http://www.instagram.com/jonrika_norwood_insuranceboss;5900;y;
;;http://www.instagram.com/joealmani;5300;y;
;;http://www.instagram.com/angelagentrybrown;6800;y;
;;http://www.instagram.com/paulvato;9100;n;
;;http://www.instagram.com/marinamonee;6300;y;
;;http://www.instagram.com/songlistmusic;8100;y;
;;http://www.instagram.com/nicolenagel__;6300;y;
;;http://www.instagram.com/djnish07;6100;y;
;;http://www.instagram.com/urgoodfella;6400;n;
;;http://www.instagram.com/lydia.0h.lydia;6900;y;
;;http://www.instagram.com/thebenkaplan;9400;y;
;;http://www.instagram.com/maggiegrigoryan;7800;y;
;;http://www.instagram.com/shanequa363;9100;n;
;;http://www.instagram.com/alejandro.barrios1;7200;y;
;;http://www.instagram.com/elonzae;7500;y;
;;http://www.instagram.com/samuelmasonpaul;9200;y;
;;http://www.instagram.com/abkco;6100;;
;;http://www.instagram.com/bradblanks;5100;;
;;http://www.instagram.com/robbie_silverman;5900;;
;;http://www.instagram.com/frankly.franky.says;5100;;
;;http://www.instagram.com/zackcosby11;5400;;
;;http://www.instagram.com/mimi513;6300;;
;;http://www.instagram.com/impatquinn;8700;;
;;http://www.instagram.com/benjwatch;9800;;
;;http://www.instagram.com/lizejohnston;9200;;
;;http://www.instagram.com/angelacoleofficial;6900;;
;;http://www.instagram.com/threescompanycollection;5200;;
;;http://www.instagram.com/itsdeanmartin;5700;;
;;http://www.instagram.com/sidandmartykrofft;5300;;
;;http://www.instagram.com/brendalgarcia;7900;;
;;http://www.instagram.com/leahmckendrick;9000;;
;;http://www.instagram.com/juliakupdatess;8500;;
;;http://www.instagram.com/derickbreezee;7600;;
;;http://www.instagram.com/really_sharrie;6200;;
;;http://www.instagram.com/jasmineasimpkins;7600;;
;;http://www.instagram.com/eyes.of.mars;8700;;
;;http://www.instagram.com/gerardlalosandoval;7600;;
;;http://www.instagram.com/evan.benham;7600;;
;;http://www.instagram.com/topnatural;5100;;
;;http://www.instagram.com/jaspreetsabrina;6000;;
;;http://www.instagram.com/kouryangelo;8500;;
;;http://www.instagram.com/jrueiam;8300;;
;;http://www.instagram.com/onlynilo;9800;;
;;http://www.instagram.com/socialmixla;7600;;
;;http://www.instagram.com/iamemmashannon;8000;;
;;http://www.instagram.com/djpsychonyc;5200;;
;;http://www.instagram.com/johnmarshalljones;6800;;
;;http://www.instagram.com/rebekahsworld_;6300;;
;;http://www.instagram.com/jfondaupdates;7200;;
;;http://www.instagram.com/liannahofficial;7700;;
;;http://www.instagram.com/inclusionmgmt;6200;;
;;http://www.instagram.com/rebeccasmeyne;6900;;
;;http://www.instagram.com/cmtcinc;6900;;
;;http://www.instagram.com/universalcastingmiami;6100;;
;;http://www.instagram.com/district_modelandtalent;6300;;
;;http://www.instagram.com/htagency;9000;;
;;http://www.instagram.com/khadeemkujabi;7500;;
;;http://www.instagram.com/ellenjacobycasting;5400;;
;;http://www.instagram.com/noah.rico;5600;;
;;http://www.instagram.com/mrjordancann;7800;;
;;http://www.instagram.com/kimshimwon;5700;;
;;http://www.instagram.com/callidus_agency;6400;;
;;http://www.instagram.com/jrabbit28;7500;;
;;http://www.instagram.com/melmackactingstudio;7000;;
;;http://www.instagram.com/iamveronicaroy;8400;;
;;http://www.instagram.com/bang_bang_bart;5400;;
