FlagshipSocialNetwork,IN_NumOfAccounts,"Instagram URL","Instagram Followers",IG_Total_Posts
youtube,1,https://instagram.com/garrett_1320video,1143783,3432
youtube,1,https://instagram.com/im_dontai,1084305,10
tiktok,1,https://instagram.com/cost_n_mayor,1355495,708
tiktok,1,https://instagram.com/coreyscherer,1106655,1986
facebook,1,https://instagram.com/johnbcrist,1302999,2502
instagram,1,https://instagram.com/janiameshell,3408583,76
instagram,1,https://instagram.com/alondradessy,2147043,487
instagram,1,https://instagram.com/brentfaiyaz,3402051,104
instagram,1,https://instagram.com/inagarten,3911523,1091
tiktok,1,https://instagram.com/dukedennis,1828554,15
facebook,3,https://instagram.com/normanfreeman,1123477,800
tiktok,1,https://instagram.com/bostonbeaman,1113150,1131
instagram,1,https://instagram.com/poohshiesty,3389925,58
instagram,1,https://instagram.com/clarencenyc,3312050,69
facebook,1,https://instagram.com/luv_jjp,1366995,624
tiktok,1,https://instagram.com/blackforager,1213848,366
tiktok,1,https://instagram.com/faithordway,1060474,84
instagram,1,https://instagram.com/shannonsharpe84,2551993,3647
tiktok,1,https://instagram.com/emmabrooks,1586937,291
facebook,1,https://instagram.com/derrickjaxn,1319468,1849
instagram,1,https://instagram.com/lightskinkeisha,2906638,226
tiktok,2,https://instagram.com/ezee,1858695,645
instagram,1,https://instagram.com/leahmesser,3003404,162
tiktok,1,https://instagram.com/johnderting,2026817,1787
facebook,1,https://instagram.com/kevonstage,1563267,9977
tiktok,1,https://instagram.com/davidsuhphoto,1205171,2483
instagram,1,https://instagram.com/ezekielelliott,2859535,1101
tiktok,1,https://instagram.com/hannahbarron96,1181936,1859
tiktok,1,https://instagram.com/rylandstorms,1068279,92
tiktok,1,https://instagram.com/gabibutler1617,2062646,896
instagram,1,https://instagram.com/landonromano,2005719,642
instagram,1,https://instagram.com/inayah,2076022,442
tiktok,1,https://instagram.com/the1saucysantana,1153476,481
tiktok,1,https://instagram.com/lilhuhofficial,1126553,230
instagram,1,https://instagram.com/keyglock,2890599,159
instagram,1,https://instagram.com/jonathandavissofficial,3550705,95
tiktok,2,https://instagram.com/desireemontoya,1530813,334
instagram,1,https://instagram.com/lilbibby_,2290959,279
instagram,1,https://instagram.com/daisymarquez_,1906849,92
instagram,1,https://instagram.com/yungeenace,3590811,143
instagram,1,https://instagram.com/myaplanet9,1977661,4274
instagram,1,https://instagram.com/jen_ny69,2058985,2775
tiktok,1,https://instagram.com/brunchwithbabs,2150675,739
tiktok,1,https://instagram.com/el_guero_mp,1110295,1790
instagram,1,https://instagram.com/zonniquejailee,3875711,582
facebook,1,https://instagram.com/khadi,1549728,125
instagram,1,https://instagram.com/hannahbrown,2701706,1098
instagram,1,https://instagram.com/iamrenodavis,4744453,12
tiktok,1,https://instagram.com/aishamian,1143493,541
facebook,1,https://instagram.com/iamshaunie,1722924,653
instagram,1,https://instagram.com/alexandracooper,2355360,191
tiktok,1,https://instagram.com/sukihanagoat,1895470,171
instagram,1,https://instagram.com/coreypritchettjr,4136868,65
twitter,1,https://instagram.com/demetriusharmon,1166827,593
instagram,1,https://instagram.com/jaydayoungan,2864776,197
instagram,1,https://instagram.com/seguratom,2161045,3575
tiktok,1,https://instagram.com/madiprew,1796304,399
youtube,1,https://instagram.com/caseyhl91,1253686,2183
instagram,1,https://instagram.com/therubirose,4079984,913
instagram,1,https://instagram.com/iam__annmarie,1594695,79
instagram,1,https://instagram.com/42_dugggg,2165208,24
instagram,1,https://instagram.com/evettexo,1206436,1278
youtube,1,https://instagram.com/simplykennedy_,1603180,465
instagram,1,https://instagram.com/arilennox,1973082,43
instagram,1,https://instagram.com/ash.kaashh,3198036,158
twitter,1,https://instagram.com/jmanziel2,1663192,255
instagram,1,https://instagram.com/quando_rondo,3883144,229
instagram,1,https://instagram.com/stassischroeder,2775985,1843
instagram,1,https://instagram.com/iamj.i,2107879,49
tiktok,1,https://instagram.com/therealkingkaiser,1361314,265
tiktok,1,https://instagram.com/tae_caldwell,1141818,52
instagram,1,https://instagram.com/joeyb_9,3838657,158
instagram,1,https://instagram.com/iamdevale,2009743,4581
facebook,1,https://instagram.com/davidjharrisjr,1564136,3338
instagram,2,https://instagram.com/tylerjcameron,2254170,476
tiktok,1,https://instagram.com/tea.cooper2,1455537,388
instagram,1,https://instagram.com/johnmulaney,1956270,61
