Username;followers_old;size_old;found;is_private;followers_new;size_new;gender
hannahbrown;2701706;mega;TRUE;FALSE;2723010;mega;f
alexandracooper;2355360;mega;TRUE;FALSE;2375455;mega;f
stassischroeder;2775985;mega;TRUE;FALSE;2854636;mega;f
tylerjcameron;2254170;mega;TRUE;FALSE;2259722;mega;m
brittanyaldean;2431613;mega;TRUE;FALSE;2439515;mega;f
horo.scopesdaily;2681748;mega;TRUE;FALSE;2664281;mega;i
laur_akins;2749170;mega;TRUE;FALSE;2756834;mega;f
slaybyella_;2301301;mega;TRUE;FALSE;2295982;mega;f
joelle_fletcher;2673466;mega;TRUE;FALSE;2676716;mega;f
carririchardson_;2294608;mega;TRUE;FALSE;2278421;mega;f
arrogant_tae123;2479467;mega;TRUE;FALSE;2493702;mega;i
dc_draino;2362360;mega;TRUE;FALSE;2375678;mega;m
the_typical_liberal;2722376;mega;TRUE;FALSE;2731198;mega;m
latainax3;2733146;mega;TRUE;FALSE;2739985;mega;f
armon.warren;2379865;mega;TRUE;FALSE;2388915;mega;m
theprettymess;2557229;mega;TRUE;FALSE;2560120;mega;f
ozthementalist;2510879;mega;TRUE;FALSE;2703521;mega;m
jakedufner;2449024;mega;TRUE;FALSE;2658466;mega;m
filayyyy;2209125;mega;TRUE;FALSE;2224625;mega;m
juice_landry;2308181;mega;TRUE;FALSE;2307617;mega;m
nolimitherro;2284429;mega;TRUE;FALSE;2272986;mega;m
_4dak;2265069;mega;TRUE;FALSE;2264592;mega;m
sunisalee;1728491;mega;TRUE;FALSE;1718042;mega;f
chrissylampkin;2031989;mega;TRUE;FALSE;2042633;mega;f
imbadkidjay;1935619;mega;TRUE;FALSE;1937592;mega;m
krista.horton;1676357;mega;TRUE;FALSE;1721886;mega;f
daisymarquez_;1906849;mega;TRUE;FALSE;1896728;mega;f
friday.beers;1979523;mega;TRUE;FALSE;2015316;mega;i
thugginn;1859690;mega;TRUE;FALSE;1859782;mega;f
johnmulaney;1956270;mega;TRUE;FALSE;1980716;mega;m
last_king_2;1701098;mega;TRUE;FALSE;1694100;mega;m
killatrav;1833164;mega;TRUE;FALSE;2357388;mega;m
witneycarson;1615521;mega;TRUE;FALSE;1619710;mega;f
iamj.i;2107879;mega;TRUE;FALSE;2101791;mega;m
damienprincejr;1657639;mega;TRUE;FALSE;1664798;mega;m
1804jackboy;2086598;mega;TRUE;FALSE;2084223;mega;m
myaplanet9;1977661;mega;TRUE;FALSE;2003510;mega;f
deyjahimani;1767780;mega;TRUE;FALSE;1768145;mega;f
lilmeechbmf;2029424;mega;TRUE;FALSE;2271261;mega;m
annefrances;1864482;mega;TRUE;FALSE;1858098;mega;f
inayah;2076022;mega;TRUE;FALSE;2075883;mega;f
4everbrooke;1775224;mega;TRUE;FALSE;1780696;mega;f
mathieu_era;1689597;mega;TRUE;FALSE;1674801;mega;m
thereallyricmichell;1631462;mega;TRUE;FALSE;1624153;mega;f
lalakent;1766466;mega;TRUE;FALSE;1908531;mega;f
christianmccaffrey;1803576;mega;TRUE;FALSE;1821966;mega;m
reesemoney300;1667415;mega;TRUE;FALSE;1704668;mega;m
42_dugggg;2165208;mega;TRUE;FALSE;2162398;mega;m
queenkhamyra;1601470;mega;TRUE;FALSE;1604588;mega;f
dk14;1808509;mega;TRUE;FALSE;1874462;mega;m
hairby_chrissy;1132727;mega;TRUE;FALSE;1132804;mega;f
codyrigsby;1337238;mega;TRUE;FALSE;1347801;mega;m
joy4site;1108924;mega;TRUE;FALSE;1116623;mega;m
jimmypolo10;1409692;mega;TRUE;FALSE;1441026;mega;m
jadelizroper;1414487;mega;TRUE;FALSE;1408556;mega;f
evettexo;1206436;mega;TRUE;FALSE;1201996;mega;f
mariahthescientist;1235626;mega;TRUE;FALSE;1332762;mega;f
lauramgovan;1436140;mega;TRUE;FALSE;1433626;mega;f
camcardii;1206790;mega;TRUE;FALSE;1205133;mega;m
viva_glam_kay;1239721;mega;TRUE;FALSE;1235737;mega;f
pilot_pete;1479089;mega;TRUE;FALSE;1470434;mega;m
deshaunwatson;1448578;mega;TRUE;FALSE;1435344;mega;m
taeadams;1288979;mega;TRUE;FALSE;1307751;mega;m
chrisbharrison;1257285;mega;TRUE;FALSE;1251603;mega;m
600breezy;1175068;mega;TRUE;FALSE;1170058;mega;m
duggarfam;1276552;mega;TRUE;FALSE;1272403;mega;g
chasechrisley;1368106;mega;TRUE;FALSE;1371675;mega;m
_yungblasiann;1115860;mega;TRUE;FALSE;1112438;mega;f
chikalogy;1086410;mega;TRUE;FALSE;1082158;mega;f
k1;1367035;mega;TRUE;FALSE;1366702;mega;m
beccatilley;1142490;mega;TRUE;FALSE;1138581;mega;f
theyasminelopez;1284624;mega;TRUE;FALSE;1370775;mega;f
aggyabby;1047728;mega;TRUE;FALSE;1044780;mega;f
sydneymclaughlin16;1119114;mega;TRUE;FALSE;1113884;mega;f
wolfiesmom;1194315;mega;TRUE;FALSE;1205745;mega;f
stevenrinella;1176097;mega;TRUE;FALSE;1184070;mega;m
iamjustairi;1124534;mega;TRUE;FALSE;1120662;mega;f
immirahbadkid;1557941;mega;TRUE;FALSE;1586831;mega;f
