Username;followers_old;size_old;found;is_private;followers_new;size_new;gender
haleyelexis_;7800;nano;TRUE;FALSE;7501;nano;f
elonzae;7500;nano;TRUE;FALSE;7362;nano;m
kelsiejoymiller;7600;nano;TRUE;FALSE;7446;nano;f
sammyrickey;41762;mikro;TRUE;FALSE;41755;mikro;f
emmakapotes;35268;mikro;TRUE;FALSE;35355;mikro;f
nategawd;40809;mikro;TRUE;FALSE;40454;mikro;m
barbarab3cker;40945;mikro;TRUE;FALSE;40822;mikro;f
glow_with_ola;40701;mikro;FALSE;NA;NA;NA;
christinesymondshair;40519;mikro;TRUE;FALSE;40423;mikro;f
clipper_queen;40450;mikro;TRUE;FALSE;40413;mikro;f
therealxt;39912;mikro;TRUE;FALSE;40022;mikro;m
cuomocromeans;38074;mikro;FALSE;NA;NA;NA;
allison_sadler_;37341;mikro;TRUE;FALSE;37236;mikro;f
painted.by.carolyn;37330;mikro;TRUE;FALSE;37198;mikro;f
mikeyquince;35487;mikro;TRUE;FALSE;35530;mikro;m
bleachedandblown;35206;mikro;TRUE;FALSE;35507;mikro;f
contactevie;35174;mikro;TRUE;FALSE;35425;mikro;f
amanda.galmiche;34460;mikro;TRUE;FALSE;34381;mikro;f
nursenacole;45273;mikro;TRUE;FALSE;45101;mikro;f
milangarcon;46445;mikro;TRUE;FALSE;47132;mikro;d
tylerinacoma;46433;mikro;TRUE;FALSE;46209;mikro;m
kingathlete;49722;mikro;TRUE;FALSE;49357;mikro;m
homeschoolon;48236;mikro;TRUE;FALSE;48072;mikro;f
rilleyymitchell;45736;mikro;TRUE;FALSE;46590;mikro;f
natalieherbick;46866;mikro;TRUE;FALSE;47869;mikro;f
philipp.christopher;49060;mikro;TRUE;FALSE;48856;mikro;m
mre.soeur;48544;mikro;TRUE;FALSE;48418;mikro;f
kyren.williams;48419;mikro;TRUE;FALSE;48140;mikro;m
jesstheebesttcolor;48090;mikro;TRUE;FALSE;47944;mikro;f
stylishlystella;46924;mikro;TRUE;FALSE;46721;mikro;f
jew_booo;45354;mikro;TRUE;FALSE;45109;mikro;f
marinaandthesummerday;45027;mikro;TRUE;FALSE;47348;mikro;f
sassyleesh;43360;mikro;TRUE;FALSE;43186;mikro;f
caroline.anythingbutbasic;43495;mikro;TRUE;FALSE;43398;mikro;f
theniksters;43406;mikro;TRUE;FALSE;43292;mikro;f
hairbypen;42168;mikro;TRUE;FALSE;42554;mikro;f
ally.warren;33459;mikro;TRUE;FALSE;33503;mikro;f
colorbyally;33988;mikro;TRUE;FALSE;34016;mikro;f
lasusie;33118;mikro;TRUE;FALSE;33321;mikro;f
justfish90;32502;mikro;TRUE;FALSE;32234;mikro;m
ericakeelen_hair_love;32474;mikro;TRUE;FALSE;32410;mikro;f
heatheryacendahair;32236;mikro;TRUE;FALSE;32215;mikro;f
donnacowan;31050;mikro;TRUE;TRUE;30872;mikro;f
lizyjung;31004;mikro;TRUE;FALSE;31027;mikro;f
1alperennak;28461;mikro;FALSE;NA;NA;NA;
colorwithgrace;30511;mikro;TRUE;FALSE;30444;mikro;f
t_smooth23;29121;mikro;TRUE;FALSE;29090;mikro;m
cozmic.color;28977;mikro;TRUE;FALSE;29018;mikro;f
madeofegyptiangold;28764;mikro;TRUE;FALSE;28664;mikro;f
staceylouisemills;28698;mikro;FALSE;NA;NA;NA;
thehairstylish;27831;mikro;TRUE;FALSE;28074;mikro;f
tyfry.3;27786;mikro;TRUE;FALSE;27583;mikro;m
sweetmelissagrace;27723;mikro;TRUE;FALSE;27663;mikro;f
malikc_3;27504;mikro;TRUE;FALSE;27903;mikro;m
johnnny_yamms3;27061;mikro;TRUE;FALSE;26699;mikro;m
singi.vo;26139;mikro;TRUE;FALSE;26073;mikro;f
glamhairbymarie;26033;mikro;TRUE;FALSE;26618;mikro;f
franvphillips;23304;mikro;TRUE;FALSE;23924;mikro;f
vixenblvd;21216;mikro;TRUE;FALSE;20944;mikro;f
ibanghair;19405;mikro;TRUE;FALSE;19394;mikro;f
lootypics;21019;mikro;TRUE;FALSE;21093;mikro;m
honor_lamberty;21465;mikro;TRUE;FALSE;21382;mikro;f
noradababneh;23691;mikro;TRUE;FALSE;23635;mikro;f
beautybyhermosa;20504;mikro;TRUE;FALSE;20458;mikro;f
hairbyshaylee;19912;mikro;TRUE;FALSE;19884;mikro;f
bargain.hunting.blonde;19468;mikro;TRUE;FALSE;19438;mikro;f
leighalane;24548;mikro;TRUE;FALSE;24492;mikro;f
shanellcedeno;19246;mikro;TRUE;FALSE;19197;mikro;f
lyndseyteresehair;22244;mikro;TRUE;FALSE;22204;mikro;f
_hairbytiffany_;21403;mikro;TRUE;FALSE;21342;mikro;f
handsomefemalebarber;21038;mikro;TRUE;FALSE;20987;mikro;f
therealkellycardenas;24487;mikro;TRUE;FALSE;24421;mikro;m
tashatripphair;23905;mikro;TRUE;FALSE;23823;mikro;f
livviedix;23418;mikro;TRUE;FALSE;23385;mikro;f
retro_jojo;20770;mikro;TRUE;FALSE;20711;mikro;f
1brentoncoxjr;19862;mikro;TRUE;FALSE;19801;mikro;m
traceyjeanne;25202;mikro;TRUE;FALSE;25435;mikro;f
roxannabarajas;24366;mikro;TRUE;FALSE;24293;mikro;f
therealcindyth0ngs;24661;mikro;TRUE;FALSE;24626;mikro;f
vtgesther;21838;mikro;TRUE;FALSE;21781;mikro;f
luna.lavey;15500;mikro;TRUE;TRUE;26;NA;
gingerfitnessldn;10152;mikro;TRUE;FALSE;10156;mikro;f
nicoleknoblach;11319;mikro;TRUE;FALSE;11316;mikro;f
themakeupexpert;10125;mikro;TRUE;FALSE;10121;mikro;f
hayyrize;12843;mikro;TRUE;FALSE;12805;mikro;f
beautybydcor;16015;mikro;TRUE;FALSE;16022;mikro;f
_hairista_;16955;mikro;FALSE;NA;NA;NA;
kayla_benay;10756;mikro;TRUE;FALSE;10712;mikro;f
styledby_jocelyn;13305;mikro;TRUE;FALSE;13314;mikro;f
personalisedhairdesign;14322;mikro;TRUE;FALSE;14286;mikro;f
samglamm;14908;mikro;TRUE;FALSE;14864;mikro;f
slayedbysila_;10400;mikro;TRUE;FALSE;10402;mikro;f
1badmuthercutter;12388;mikro;TRUE;FALSE;507;NA;f
brandonlinder65;17337;mikro;TRUE;FALSE;17404;mikro;m
hello.chantelle;14832;mikro;TRUE;FALSE;14739;mikro;f
jasminejun;15273;mikro;TRUE;FALSE;15266;mikro;f
amberharlan;11978;mikro;TRUE;FALSE;11986;mikro;f
newporthairbytiffany;17455;mikro;TRUE;FALSE;17571;mikro;f
bettycombs;16425;mikro;TRUE;FALSE;16362;mikro;f
makeupbyanab;13656;mikro;TRUE;FALSE;13768;mikro;f
givemegabrielle;15679;mikro;TRUE;FALSE;15632;mikro;f
nataliaissa;12044;mikro;TRUE;FALSE;12024;mikro;f
coleen_code_;10640;mikro;TRUE;FALSE;10602;mikro;f
heysharlamay;67247;midtier;FALSE;NA;NA;NA;
jessykirson;130409;midtier;TRUE;FALSE;146182;midtier;f
shannongunz;137007;midtier;TRUE;FALSE;137771;midtier;f
sebastianmikael;103013;midtier;TRUE;FALSE;103130;midtier;m
kersti.pitre;132016;midtier;TRUE;FALSE;131511;midtier;f
albertalmorajr;133078;midtier;TRUE;FALSE;132460;midtier;m
jrsportbrief;118496;midtier;TRUE;FALSE;111728;midtier;m
giavanniruffin;126751;midtier;TRUE;FALSE;126050;midtier;m
eagle_wmcm;126473;midtier;TRUE;FALSE;127076;midtier;m
thechanelcartel;127539;midtier;TRUE;FALSE;126696;midtier;f
bravothebagchaser;217605;midtier;TRUE;FALSE;218528;midtier;m
jnglert;185407;midtier;TRUE;FALSE;188305;midtier;m
statikleo;226115;midtier;TRUE;FALSE;223221;midtier;m
calaiscampbell;172519;midtier;TRUE;FALSE;172145;midtier;m
