date,followees,username,month,year
2020-02-01,85,inagarten,2,2020
2020-01-01,88,inagarten,1,2020
2019-12-01,98,inagarten,12,2019
2019-11-01,97,inagarten,11,2019
2019-10-01,98,inagarten,10,2019
2019-09-01,101,inagarten,9,2019
2019-08-01,96,inagarten,8,2019
2019-07-01,94,inagarten,7,2019
2019-06-01,94,inagarten,6,2019
2019-05-01,92,inagarten,5,2019
2019-04-01,92,inagarten,4,2019
2019-03-01,102,inagarten,3,2019
2019-02-01,99,inagarten,2,2019
2019-01-01,99,inagarten,1,2019
2022-12-01,438,ballerinafarm,12,2022
2022-11-01,432,ballerinafarm,11,2022
2022-10-01,426,ballerinafarm,10,2022
2022-09-01,417,ballerinafarm,9,2022
2022-08-01,398,ballerinafarm,8,2022
2022-07-01,388,ballerinafarm,7,2022
2022-06-01,378,ballerinafarm,6,2022
2022-05-01,359,ballerinafarm,5,2022
2022-04-01,356,ballerinafarm,4,2022
2022-03-01,419,ballerinafarm,3,2022
2022-02-01,411,ballerinafarm,2,2022
2022-01-01,404,ballerinafarm,1,2022
2021-12-01,395,ballerinafarm,12,2021
2021-11-01,379,ballerinafarm,11,2021
2021-10-01,368,ballerinafarm,10,2021
2021-09-01,354,ballerinafarm,9,2021
2021-08-03,327,ballerinafarm,8,2021
2021-07-01,308,ballerinafarm,7,2021
2021-06-01,595,ballerinafarm,6,2021
2021-05-01,575,ballerinafarm,5,2021
2021-04-01,570,ballerinafarm,4,2021
2021-03-01,557,ballerinafarm,3,2021
2021-02-01,540,ballerinafarm,2,2021
2021-01-01,516,ballerinafarm,1,2021
2020-12-01,488,ballerinafarm,12,2020
2020-11-01,472,ballerinafarm,11,2020
2020-10-01,457,ballerinafarm,10,2020
2020-09-01,439,ballerinafarm,9,2020
2020-08-01,430,ballerinafarm,8,2020
2020-07-01,426,ballerinafarm,7,2020
2020-06-01,412,ballerinafarm,6,2020
2020-05-01,404,ballerinafarm,5,2020
2020-04-01,400,ballerinafarm,4,2020
2020-03-01,378,ballerinafarm,3,2020
2020-02-01,359,ballerinafarm,2,2020
2020-01-01,354,ballerinafarm,1,2020
2019-12-01,338,ballerinafarm,12,2019
2019-11-01,322,ballerinafarm,11,2019
2019-10-01,310,ballerinafarm,10,2019
2019-09-01,302,ballerinafarm,9,2019
2019-08-01,293,ballerinafarm,8,2019
2019-07-01,282,ballerinafarm,7,2019
2019-06-01,272,ballerinafarm,6,2019
2019-05-01,264,ballerinafarm,5,2019
2019-04-01,258,ballerinafarm,4,2019
2019-03-01,252,ballerinafarm,3,2019
2019-02-01,251,ballerinafarm,2,2019
2019-01-01,236,ballerinafarm,1,2019
2022-12-01,468,shannonsharpe84,12,2022
2022-11-01,467,shannonsharpe84,11,2022
2022-10-01,489,shannonsharpe84,10,2022
2022-09-01,498,shannonsharpe84,9,2022
2022-08-01,532,shannonsharpe84,8,2022
2022-07-01,566,shannonsharpe84,7,2022
2022-06-01,582,shannonsharpe84,6,2022
2022-05-01,579,shannonsharpe84,5,2022
2022-04-01,619,shannonsharpe84,4,2022
2022-03-01,633,shannonsharpe84,3,2022
2022-02-01,642,shannonsharpe84,2,2022
2022-01-01,643,shannonsharpe84,1,2022
2021-12-01,642,shannonsharpe84,12,2021
2021-11-01,664,shannonsharpe84,11,2021
2021-10-01,660,shannonsharpe84,10,2021
2021-09-01,686,shannonsharpe84,9,2021
2021-08-02,699,shannonsharpe84,8,2021
2021-07-01,702,shannonsharpe84,7,2021
2021-06-01,703,shannonsharpe84,6,2021
2021-05-01,693,shannonsharpe84,5,2021
2021-04-01,693,shannonsharpe84,4,2021
2021-03-01,686,shannonsharpe84,3,2021
2021-02-01,678,shannonsharpe84,2,2021
